driverId,week,hours-logged,miles-logged
19,45,72,1800
55,36,78,1100
34,32,60,500
25,34,50,2400
75,42,57,900
87,42,76,2500
38,32,72,1500
11,30,71,3400
10,8,80,2900
56,14,57,1500
44,35,77,4000
106,30,52,3500
50,20,66,1100
19,37,50,800
53,38,56,900
101,35,75,2000
85,12,73,300
97,17,54,3200
107,12,73,3400
31,10,75,2200
64,40,70,200
25,18,64,1500
90,30,64,1300
25,10,80,1100
101,28,68,300
67,20,64,4000
97,22,58,2600
19,36,65,1500
66,5,72,1100
26,8,72,2400
68,25,58,400
71,51,52,1400
77,6,54,4000
72,51,70,600
45,44,73,900
65,42,59,2800
42,19,50,2400
47,28,74,3400
58,13,60,400
87,24,51,600
105,15,68,1500
108,23,70,900
90,40,75,2600
58,2,62,100
77,52,79,3700
80,33,64,900
76,44,73,300
31,15,56,0
28,48,80,1600
76,12,80,3100
58,35,53,2600
79,1,57,3300
15,22,54,3900
57,9,80,2800
69,22,68,3400
11,1,52,2100
11,12,77,500
97,1,61,200
10,52,61,3400
106,5,68,100
97,45,76,1400
49,3,61,200
56,35,73,2700
100,40,64,2500
15,20,78,1900
81,4,52,1700
61,50,77,3500
89,30,80,100
59,34,71,600
25,8,63,2300
74,41,78,2200
45,15,71,2400
46,33,69,1800
98,3,71,3200
15,11,79,200
57,14,73,1400
107,28,69,2800
38,48,53,1400
36,40,73,3600
92,49,67,2800
40,7,55,1500
90,11,80,200
84,4,72,300
77,11,72,2700
32,34,76,2200
88,11,71,2500
35,29,59,1900
56,45,59,2800
58,36,75,1000
72,37,63,3900
16,4,66,1900
60,17,70,400
43,16,50,2700
22,52,62,2700
51,22,62,1900
56,12,51,3100
19,34,64,0
30,47,76,1000
99,6,70,3100
57,22,57,600
21,28,55,2300
24,49,80,2200
67,24,63,3200
42,37,61,3300
10,4,69,600
99,26,51,2600
54,41,52,3200
15,49,71,800
39,33,64,4000
81,4,64,2200
27,40,67,1100
101,37,69,3100
50,25,56,300
18,8,60,0
45,41,64,800
84,28,68,600
35,52,55,3700
74,38,73,2300
68,15,79,3900
39,33,60,1500
102,51,59,4000
58,3,61,1700
78,10,55,800
92,50,64,3900
14,15,56,1700
35,24,61,3800
19,3,64,2800
40,25,51,400
75,2,72,2400
22,48,66,400
98,25,59,3900
25,11,80,3300
35,20,52,1400
90,39,77,1700
22,11,54,2300
63,7,64,1300
95,13,64,800
35,13,64,1600
49,32,72,3900
90,28,80,3300
88,4,59,3500
109,50,57,900
23,24,59,1600
88,49,58,4000
19,52,61,900
72,27,63,4000
59,50,64,3700
79,20,58,2600
65,41,68,200
65,9,64,1500
39,16,69,1400
46,13,51,1700
25,46,63,3800
106,8,55,2800
29,14,62,1500
52,42,56,3000
44,2,79,2500
90,33,57,1800
105,6,50,3700
59,43,77,3100
29,52,63,2900
57,43,74,900
101,41,55,3900
41,37,66,3800
61,3,66,2800
43,48,78,800
65,38,69,1800
95,48,75,800
67,12,61,1100
43,51,55,1000
107,33,54,2900
24,37,78,1600
102,5,54,3000
100,12,51,200
54,15,79,1700
21,2,72,1200
36,1,68,2100
96,26,66,2700
96,7,57,1400
76,35,80,2800
29,49,71,3900
49,1,76,3800
38,19,71,2200
99,45,73,3700
99,19,53,1900
30,43,55,2100
60,3,58,400
17,41,63,400
63,12,61,600
67,22,55,400
71,31,77,100
35,9,63,1300
31,27,50,3600
22,9,58,200
102,26,67,400
57,38,68,3300
80,4,68,1800
99,8,64,1400
84,35,67,2600
74,50,67,1500
57,29,58,0
37,28,66,2000
30,16,59,800
65,4,71,200
88,34,70,1600
96,22,57,3800
95,14,77,300
99,35,75,700
76,31,68,300
71,41,61,3000
25,17,56,800
55,3,58,1500
21,50,61,0
76,48,68,300
20,31,71,1000
30,2,61,300
82,31,50,2000
59,23,55,600
47,18,72,3400
46,18,63,1500
92,37,57,1600
49,32,55,300
83,22,66,1600
15,43,77,1900
94,42,54,500
38,30,71,3400
92,23,50,2700
68,30,52,600
91,23,59,2700
84,44,74,3400
48,33,74,2000
79,44,63,3400
71,19,72,1200
49,9,75,1900
100,3,74,1200
51,46,54,3900
32,48,51,300
39,36,77,2900
43,30,75,500
14,7,62,200
12,4,78,1000
57,16,78,2100
73,2,53,400
109,38,50,3500
82,12,58,1900
55,12,79,3900
22,45,51,1800
53,41,67,3000
11,34,50,100
45,43,78,900
80,1,63,2100
15,29,66,3500
77,7,80,1200
47,3,53,1000
62,20,64,300
24,21,61,1000
99,18,65,3400
71,27,70,1300
57,13,67,2300
80,24,71,800
50,23,54,2200
14,11,69,3300
108,27,58,1900
87,46,78,2900
77,47,58,3600
50,26,74,100
34,12,52,1300
46,29,79,3900
51,44,53,1000
76,10,68,3200
23,39,55,3100
28,28,79,1900
80,41,76,1600
38,46,50,100
59,26,75,2300
109,44,72,2600
16,46,62,1200
35,10,65,700
27,17,57,900
37,28,75,3400
45,37,61,400
33,35,63,3900
44,25,57,1800
78,24,56,800
77,24,61,2200
97,3,77,1500
90,35,64,3400
33,41,73,800
63,25,52,900
58,2,68,3300
14,5,71,1000
56,22,53,100
101,45,74,1900
37,35,61,1800
15,52,69,300
91,11,50,200
21,30,69,2300
48,51,64,2200
108,20,71,2500
59,49,62,1500
21,45,53,500
107,32,59,1500
39,38,59,1400
91,18,74,1500
83,37,70,3200
88,42,80,2900
28,47,71,3900
49,15,69,400
65,10,52,3900
36,14,65,1300
85,37,56,600
107,49,64,1500
49,47,75,1900
75,18,52,3200
38,24,63,400
10,22,51,3400
38,4,73,2500
107,46,72,3700
37,29,54,1600
109,30,75,3600
88,23,58,2800
100,29,73,3400
49,2,51,3700
17,19,56,1500
25,32,80,3100
24,15,70,3400
87,37,55,3600
51,48,80,300
18,35,51,1900
11,25,63,4000
83,46,74,400
56,42,51,600
71,9,58,500
64,31,52,2700
30,2,69,3800
42,19,53,1000
19,34,57,1300
39,33,80,1200
40,17,60,1700
79,52,75,1800
26,4,74,1800
26,42,74,3800
26,33,78,1200
53,21,68,2100
52,20,74,3200
82,2,50,3900
23,19,76,2000
106,3,64,2600
35,30,51,1000
57,9,72,2400
54,7,63,2600
66,19,80,1800
86,4,60,3700
90,45,51,2700
95,16,58,1500
20,25,75,3000
103,1,65,2700
81,4,71,500
73,18,56,2100
79,17,73,400
28,36,51,1000
95,7,74,100
68,33,64,4000
92,32,51,2000
28,10,79,3900
65,28,70,200
88,28,54,2100
84,12,71,4000
87,40,64,3300
96,33,66,2500
52,32,55,2200
30,40,72,200
100,34,67,3600
85,39,65,1800
96,35,58,1200
72,45,54,3700
66,40,62,1000
52,9,63,2900
46,12,54,2800
68,49,56,2800
25,6,80,3100
45,18,59,900
74,19,79,1800
